brand,engine_displacement,fuel_type,insurance,kms_driven,location,model,ownership,price,registration_year,seats,transmission
10,1197.0,4,0,36541,10,786,1,460000.0,2019,5,1
10,1353.0,4,0,18500,10,511,1,1771000.0,2022,5,0
18,1586.0,0,2,120000,10,1586,1,399000.0,2014,5,1
18,1197.0,4,2,70851,10,1543,1,496000.0,2018,5,0
18,1197.0,4,1,3626,10,234,1,1000000.0,2023,5,1
10,1197.0,4,0,15066,10,786,1,405000.0,2017,5,1
8,1499.0,4,2,53999,10,605,1,580000.0,2017,5,0
10,1497.0,4,0,9999,10,492,1,1090000.0,2021,5,1
30,1199.0,4,1,38664,10,1212,1,365000.0,2015,5,1
28,1197.0,2,0,25000,10,1162,1,1195000.0,2022,5,0
10,1197.0,4,0,13000,10,910,1,851000.0,2022,5,0
18,998.0,0,0,69638,10,1825,1,455000.0,2020,5,1
18,1462.0,4,0,64117,10,354,3,520000.0,2018,5,1
0,1968.0,1,0,48600,10,102,3,1950000.0,2016,5,0
9,1497.0,4,0,70336,10,395,1,575000.0,2018,5,1
9,1497.0,4,1,90000,10,409,1,375000.0,2013,5,1
9,1497.0,4,0,70000,10,381,3,699000.0,2017,5,0
10,998.0,4,0,35258,10,1751,1,726000.0,2019,5,1
17,1197.0,4,0,14900,10,1950,1,1025000.0,2021,5,0
28,999.0,2,0,18000,10,1162,1,1045000.0,2021,5,0
26,999.0,4,1,59680,10,1024,1,625000.0,2022,5,1
18,998.0,0,2,45443,10,1825,1,379000.0,2018,5,1
0,1968.0,1,0,52000,10,80,1,1251000.0,2014,5,0
18,998.0,4,0,66113,10,1822,1,395000.0,2016,5,0
26,1461.0,1,0,75000,10,553,3,699000.0,2016,5,1
27,1598.0,4,0,34394,10,1306,1,624000.0,2017,5,1
15,1999.0,1,1,44847,10,538,1,4745000.0,2021,7,0
20,2925.0,1,1,44000,10,47,1,11000000.0,2021,7,0
10,1591.0,4,2,117201,10,519,1,700000.0,2016,5,1
17,2489.0,1,0,95000,10,1990,1,370000.0,2015,7,1
21,1498.0,4,0,30500,10,223,1,1175000.0,2022,5,0
18,1248.0,1,0,27300,10,1812,1,825000.0,2018,5,0
