Brand,Engine_Displacement,Fuel_Type,Insurance,Kms_Driven,Location,Model,Ownership,Price,Registration_Year,Seats,Transmission
30,1199 cc,4,1,38664,10,1204,1,365000.0,2015,5,1
28,1197 cc,2,0,25000,10,1149,1,1195000.0,2022,5,0
10,1197 cc,4,0,13000,10,2113,1,851000.0,2022,5,0
19,998 cc,0,0,69638,10,1865,1,455000.0,2020,5,1
19,1462 cc,4,0,64117,10,378,3,520000.0,2018,5,1
0,1968 cc,1,0,48600,10,110,3,1950000.0,2016,5,0
9,1497 cc,4,0,70336,10,443,1,575000.0,2018,5,1
9,1497 cc,4,1,90000,10,403,1,375000.0,2013,5,1
9,1497 cc,4,0,70000,10,429,3,699000.0,2017,5,0
10,998 cc,4,0,35258,10,1778,1,726000.0,2019,5,1
18,1197 cc,4,0,14900,10,1976,1,1025000.0,2021,5,0
28,999 cc,2,0,18000,10,1149,1,1045000.0,2021,5,0
26,999 cc,4,1,59680,10,1050,1,625000.0,2022,5,1
19,998 cc,0,2,45443,10,1870,1,379000.0,2018,5,1
0,1968 cc,1,0,52000,10,85,1,1251000.0,2014,5,0
19,998 cc,4,0,66113,10,1867,1,395000.0,2016,5,0
26,1461 cc,1,0,75000,10,588,3,699000.0,2016,5,1
27,1598 cc,4,0,34394,10,1314,1,624000.0,2017,5,1
15,1999 cc,1,1,44847,10,572,1,4745000.0,2021,7,0
21,2925 cc,1,1,44000,10,50,1,11000000.0,2021,7,0
10,1591 cc,4,2,117201,10,531,1,700000.0,2016,5,1
18,2489 cc,1,0,95000,10,2028,1,370000.0,2015,7,1
17,1498 cc,4,0,30500,10,232,1,1175000.0,2022,5,0
19,1248 cc,1,0,27300,10,1847,1,825000.0,2018,5,0
18,2179 cc,1,0,92000,10,1987,3,795000.0,2017,7,1
10,1197 cc,4,3,33449,10,2109,1,425000.0,2016,5,1
21,2987 cc,1,0,65000,10,50,3,4775000.0,2017,7,0
21,1796 cc,4,0,86000,10,609,1,1199000.0,2013,5,0
29,2494 cc,4,1,53312,10,314,3,1190000.0,2015,5,0
19,1197 cc,4,0,65940,10,250,3,442000.0,2018,5,0
10,1591 cc,4,3,70965,10,523,1,894000.0,2019,5,0
17,1451 cc,4,1,43650,10,895,1,1600000.0,2022,5,0
10,1197 cc,4,1,33000,10,830,1,498000.00000000006,2016,5,0
21,1991 cc,4,0,71000,10,295,1,1650000.0,2015,5,0
15,2179 cc,1,1,86890,10,1291,4,1700000.0,2013,5,0
14,1493 cc,1,1,11700,10,1487,3,1775000.0,2022,5,0
24,1498 cc,4,0,36000,10,1524,3,330000.0,2014,5,0
30,1198 cc,4,2,62000,10,1205,1,425000.0,2015,5,1
10,1493 cc,1,0,12000,10,128,1,1920000.0,2022,7,0
19,1248 cc,1,0,59000,10,1573,1,435000.0,2013,5,1
10,1353 cc,4,1,29500,10,551,1,1600000.0,2021,5,0
19,1197 cc,4,1,62108,10,253,3,406000.0,2016,5,1
19,1373 cc,4,0,87235,10,697,3,535000.0,2013,7,1
30,1197 cc,4,1,79032,10,1221,1,525000.0,2015,5,0
19,1462 cc,4,0,42500,10,376,1,875000.0,2020,5,0
28,1199 cc,4,3,39558,10,1692,1,407000.0,2018,5,1
10,1591 cc,4,0,72000,10,527,1,835000.0,2017,5,0
29,2494 cc,1,0,87000,10,936,3,545000.0,2011,8,1
9,1198 cc,4,2,75000,10,185,1,295000.0,2014,5,1
9,1199 cc,4,0,54767,10,986,1,645000.0,2018,5,0
